"bound","coef","se","ci_low","ci_high"
"lower",3.44139526477261,0.99268255026638,1.49577321816913,5.38701731137608
"point (untrimmed)",3.40766546318787,0.9564388969056,1.53307967183967,5.28225125453606
"upper",3.45699427014824,0.89749487861606,1.69793663175162,5.21605190854487
