"occupation_code","wfh_exposure","n","beta_j","se_j"
25,0.451029926156238,5146,0.000453222873775694,0.0172003642725191
24,0.276923076923077,3835,0.0203859493354654,0.0152574787142592
35,0.262276785714286,896,-0.00466178328003242,0.0498258256345188
21,0.244893661823542,4749,-0.0206764609294341,0.0147856567985633
26,0.232539362131611,4954,-0.0115205083654413,0.0124601978536954
12,0.197938144329897,1455,-0.0102499670846452,0.0226608251704117
23,0.193746381007528,8635,2.17803202664513e-05,0.008850361162148
11,0.15874363327674,1178,-0.0281434816976907,0.0294283610111709
34,0.15539858728557,1982,-0.0145026671956971,0.0213984338377656
33,0.144836727316544,8299,0.00788684148966645,0.0092649194654173
51,0.126226734348562,2955,0.0405995918215085,0.0209268870535014
41,0.114109050028106,1779,-0.0239118373616245,0.018859824852662
44,0.111111111111111,378,0.0217098358600958,0.0482130399704657
13,0.109649122807018,3648,0.0195071340056003,0.0176582678095241
42,0.10258064516129,1550,0.00559802591664127,0.0252793960683779
43,0.0858725761772853,1805,-0.001313738212672,0.0240435986594176
31,0.0847583643122677,1345,-0.0342278101384323,0.0296810025946439
75,0.0777777777777778,810,-0.00320033065253655,0.0409916634101682
32,0.0727482678983834,866,0.0368445271641882,0.0261307253121345
73,0.0655737704918033,244,-0.0559529493907744,0.102509127078822
22,0.0577464788732394,3550,-0.019493401068245,0.00988686266256789
14,0.0560652395514781,981,0.0488976006725705,0.0503483610349922
52,0.0501792114695341,3348,-0.00945200399240864,0.0199123689564265
53,0.045501704461242,6747,-0.00529847914981785,0.0105023200087939
61,0.0372670807453416,483,0.0789029323963284,0.110744134078622
74,0.0276497695852535,1302,0.0313350243405708,0.223050594444501
96,0.0176991150442478,226,0.068853010535733,0.16750313905106
81,0.0140350877192982,855,-0.0396549998070301,0.0595362696988678
82,0.0137299771167048,437,0.0142354914921103,0.0491254154344609
94,0.0125,240,-0.00212247413589406,0.0830791406331371
71,0.0102933607822954,1943,-0.032427370454382,0.223618372857632
91,0.00907590759075908,1212,0.0111548152985397,0.0263112446823122
83,0.00907563025210084,2975,0.0542113227499232,0.168307907958907
54,0.0079628400796284,1507,0.0785799027122782,0.0526072998514765
72,0.00786275911365261,1399,0.130662303347399,0.0983346519299132
93,0.00399201596806387,1002,0.00968728489936943,0.0482582699737025
