"bound","coef","se","ci_low","ci_high"
"lower",3.30762903719324,1.07024238842317,1.20999250115571,5.40526557323077
"point (untrimmed)",3.23185442091199,1.05381484718942,1.16641527404715,5.29729356777682
"upper",3.30591703048867,0.97683257940187,1.39136035593564,5.2204737050417
