"ChildAgeBin","emp_rate","n","adj_emp"
"0–1",0.758791936433196,54368,0.72890193622805
"2–4",0.787136294027565,54852,0.774656317393572
"5–9",0.802291860730794,56897,0.803718232353951
"10–14",0.790451264299886,47378,0.812527309135103
"15–17",0.767421875,25600,0.818229647637318
