"term","year","estimate","std_error","t_stat","p_value","ci_low","ci_high","period"
"ShnatSeker::2017:Mother",2017,0.351522449016712,0.257031420212029,1.36762442788798,0.17143452942441,-0.152259525896257,0.855304423929681,"Pre"
"ShnatSeker::2018:Mother",2018,0.201336377582018,0.219081899637716,0.91900051037971,0.358098812682003,-0.228064479232017,0.630737234396052,"Pre"
"ShnatSeker::2021:Mother",2021,0.392296486658736,0.261229122538382,1.50173335517405,0.133170982121239,-0.119712991204348,0.90430596452182,"Post"
"ShnatSeker::2022:Mother",2022,0.121337386874494,0.265377441298628,0.457225701931285,0.647510398069861,-0.398802802073956,0.641477575822943,"Post"
"ShnatSeker::2023:Mother",2023,0.751747394855029,0.264962514215636,2.83718395819278,0.00455278608857369,0.232420463620917,1.27107432608914,"Post"
