"WFH_Exposure_Q","absent_share","se","n"
1,0.143991213435658,0.00172638805869221,71928
2,0.0852889883690592,0.00136125236478534,72823
3,0.0952012851328011,0.00131963916139589,82793
4,0.096212877695181,0.00169841274373545,54078
