"ISCO2","tele_ext","n","realized_wfh","se_clustered","se_na_reason","gap","margin","swap","wfh_exposure_calibrated"
41,1,3597,0.0981373366694468,0.00828199597379188,NA,0.901862663330553,0.388239992214664,TRUE,0.0981373366694468
23,0.966101694915254,16491,0.0690073373355163,0.0029601379798307,NA,0.897094357579738,0.392225363887337,TRUE,0.0690073373355163
12,0.891891891891892,2628,0.143074581430746,0.00944742703317234,NA,0.748817310461146,0.233277675840273,TRUE,0.143074581430746
11,0.9,1821,0.155409115870401,0.0121865241924928,NA,0.744590884129599,0.224545835611645,TRUE,0.155409115870401
24,0.942857142857143,7641,0.233084674780788,0.00740974967473994,NA,0.709772468076355,0.197584514449056,TRUE,0.233084674780788
14,0.772727272727273,2039,0.0657184894556155,0.00807917682119531,NA,0.707008783271657,0.193719719974532,TRUE,0.0657184894556155
25,1,10425,0.360383693045564,0.00703340778569512,NA,0.639616306954436,0.128047380648307,TRUE,0.360383693045564
33,0.683673469387755,16021,0.122963610261532,0.00408911907088209,NA,0.560709859126223,0.0539838567914466,TRUE,0.122963610261532
44,0.625,746,0.0831099195710456,0.0152265109945304,NA,0.541890080428954,0.0168446985937846,TRUE,0.0831099195710456
13,0.638297872340426,6879,0.0969617676987934,0.00542431951813511,NA,0.541336104641632,0.032413893008484,TRUE,0.0969617676987934
35,0.75,1752,0.244292237442922,0.0165119872471462,NA,0.505707762557078,-0.0214520395545673,FALSE,0.75
26,0.677966101694915,9681,0.214750542299349,0.00680255848211817,NA,0.463215559395566,-0.0479736535962956,FALSE,0.677966101694915
43,0.526315789473684,3450,0.0707246376811594,0.00617652142226774,NA,0.455591151792525,-0.0545683218708358,FALSE,0.526315789473684
34,0.576923076923077,4218,0.142247510668563,0.00884367118024656,NA,0.434675566254514,-0.0798709783618812,FALSE,0.576923076923077
21,0.64367816091954,9368,0.209756618274979,0.0071576545233304,NA,0.433921542644562,-0.0778517513586041,FALSE,0.64367816091954
63,0,8,0.375,0.375,NA,0.375,-0.741820110106802,FALSE,0
53,0.3,12223,0.0459788922523112,0.00336207188714768,NA,0.254021107747689,-0.251509008389958,FALSE,0.3
83,0.236842105263158,6098,0.00573958674975402,0.00111527908024208,NA,0.231102518513404,-0.270731952326795,FALSE,0.236842105263158
96,0.25,312,0.0224358974358974,0.00960817306760597,NA,0.227564102564103,-0.288239935754527,FALSE,0.25
42,0.291666666666667,2779,0.0957178841309824,0.00829792105742104,NA,0.195948782535684,-0.317700083011772,FALSE,0.291666666666667
62,0.178571428571429,19,0,NA,"constant outcome within occupation",0.178571428571429,NA,FALSE,0.178571428571429
61,0.181818181818182,926,0.0269978401727862,0.00631847522906232,NA,0.154820341645396,-0.355572625251931,FALSE,0.181818181818182
52,0.2,6128,0.0497715404699739,0.00466459248297999,NA,0.150228459530026,-0.357444112333854,FALSE,0.2
51,0.270833333333333,5937,0.146201785413509,0.0080961505144265,NA,0.124631547919825,-0.388685434618175,FALSE,0.270833333333333
93,0.12,1829,0.00601421541826134,0.00195390331131678,NA,0.113985784581739,-0.389228100366593,FALSE,0.12
54,0.1,2778,0.00791936645068395,0.0017354410774825,NA,0.0920806335493161,-0.410773913001342,FALSE,0.1
31,0.143939393939394,2845,0.0590509666080844,0.0068643071249816,NA,0.0848884273313096,-0.426402353139725,FALSE,0.143939393939394
75,0.0731707317073171,1693,0.122268163024217,0.0150248260206184,NA,0.0490974313169003,-0.475616208257429,FALSE,0.0731707317073171
22,0.101449275362319,6974,0.0593633495841698,0.00478324146991172,NA,0.0420859257781491,-0.46578180630222,FALSE,0.101449275362319
32,0.0566037735849057,1525,0.08,0.0123257376912302,NA,0.0233962264150943,-0.496877807931178,FALSE,0.0566037735849057
74,0,2332,0.0218696397941681,0.00474074832930729,NA,0.0218696397941681,-0.485928197289757,FALSE,0
73,0.137931034482759,500,0.118,0.0268406972058013,NA,0.0199310344827586,-0.52421798366611,FALSE,0.137931034482759
81,0,1687,0.018968583283936,0.0052490797510082,NA,0.018968583283936,-0.489665384582667,FALSE,0
71,0.027027027027027,3802,0.00815360336664913,0.00228132578338196,NA,0.0188734236603779,-0.484879023328676,FALSE,0.027027027027027
94,0,479,0.0125260960334029,0.00651867634383105,NA,0.0125260960334029,-0.49819617239367,FALSE,0
82,0,819,0.0122100122100122,0.00682784562108647,NA,0.0122100122100122,-0.499020794424097,FALSE,0
72,0,2858,0.00769769069279216,0.0021354990272765,NA,0.00769769069279216,-0.495814892627575,FALSE,0
92,0,144,0.00694444444444444,0.0069321651590108,NA,0.00694444444444444,-0.504457952559981,FALSE,0
91,0,2526,0.00356294536817102,0.00130938432312024,NA,0.00356294536817102,-0.498590800184787,FALSE,0
95,0,7,0,NA,"constant outcome within occupation",0,NA,FALSE,0
