"Mother","Post","mean_hours","n","sd","se","MotherLabel","PeriodLabel","ci_low","ci_high"
0,0,40.0394563656669,50144,12.2252671236563,0.0545944971095516,"Non-mothers","Pre-2021",39.9324511513322,40.1464615800016
0,1,40.0790638259045,43838,11.99460186541,0.0572875792346062,"Non-mothers","Post-2021",39.9667801706046,40.1913474812043
1,0,38.5389722405066,88114,11.6598359370062,0.0392798645204616,"Mothers","Pre-2021",38.4619837060465,38.6159607749667
1,1,38.8444117299123,76079,11.5739057052194,0.0419611654515898,"Mothers","Post-2021",38.7621678456272,38.9266556141974
