"child_age_bin","codes","n_mothers","did_coef","did_se","did_p","did_n","ddd_coef","ddd_se","ddd_p","ddd_n"
"0-4","1,2",109220,0.126707909868287,0.21110112012816,0.548360354426289,158424,3.65607763273317,1.07915812347521,0.00168373403411693,154499
"5-9","3",56897,0.162093215572511,0.253273747864213,0.52218193226838,130782,3.21119744846249,1.31055996185176,0.0191265086307184,127419
"10-14","4",47378,0.159254380493479,0.277956916832024,0.566685062757125,123280,2.74052364454974,1.52496648691215,0.0802703411192708,120084
"15-17","5",25600,0.561281734639749,0.348290127436625,0.107074723785399,107061,1.8622259035119,0.935389047916138,0.0537232567693796,104079
