"WFH_Exposure_Q","q_low","q_high","mean_exposure","did","se","n","ci_low","ci_high","q_label"
1,0,0.0969617676987934,0.0604511521106442,-0.317052668790808,0.395043325960143,61571,-1.09133758767269,0.457232250091072,"Q1
0.00-0.10"
2,0.0969617676987934,0.143074581430746,0.115606504098215,0.270018622966205,0.322792557698917,66612,-0.362654790123671,0.902692036056082,"Q2
0.10-0.14"
3,0.143074581430746,0.3,0.262841817284677,-0.0185921549715431,0.329748268148175,74911,-0.664898760541966,0.627714450598879,"Q3
0.14-0.30"
4,0.3,0.75,0.591716602041023,1.55141935982374,0.414261506784041,48874,0.739466806527019,2.36337191312046,"Q4
0.30-0.75"
