"subgroup","estimate","se","ci_low","ci_high"
"All women (primary)",3.40728600815737,0.930162822020709,1.58416687699678,5.23040513931796
"Jewish women",2.92375236197495,0.890061235245505,1.17923234089376,4.66827238305614
"Arab women",6.00617200454735,2.64260908479707,0.826658198345102,11.1856858107496
"Men (placebo)",-1.88062316812488,1.12261729884836,-4.08095307386767,0.319706737617897
