"measure","ShnatSeker","share","se","n"
"WFH",2021,0.156966608555719,0.00241445568957383,44742
"WFH",2022,0.129644523081872,0.00237072002500001,43519
"WFH",2023,0.127048042210497,0.00228513288934221,43212
"WFH_RefWeek",2021,0.212906672093201,0.0029541484600742,39313
"WFH_RefWeek",2022,0.218575740522842,0.00311588218486512,39094
"WFH_RefWeek",2023,0.221558751752427,0.00308426194061621,38518
