"term","year","estimate","std_error","t_stat","p_value","ci_low","ci_high","period"
"ShnatSeker::2017:MotherWFH",2017,0.586601905807129,2.23668808937046,0.262263615832208,0.794498584609734,-3.93752678351687,5.11073059513112,"Pre"
"ShnatSeker::2018:MotherWFH",2018,0.313440944143167,1.74488913637803,0.17963373007972,0.858370200098512,-3.21593046847945,3.84281235676579,"Pre"
"ShnatSeker::2021:MotherWFH",2021,3.01144814485951,1.23268336701438,2.44300217350493,0.0191965247493812,0.518110691119183,5.50478559859985,"Post"
"ShnatSeker::2022:MotherWFH",2022,3.54536493842852,1.08497352139272,3.26769720046029,0.002266507640494,1.35079884822716,5.73993102862988,"Post"
"ShnatSeker::2023:MotherWFH",2023,4.0203389507451,1.33965657983799,3.00102206136388,0.00467384621470397,1.31062775073929,6.73005015075091,"Post"
