"Mother","Post","share_fulltime","share_longhours","mean_hours","n"
0,0,0.75877472878111,0.684209476707084,40.0394563656669,50144
0,1,0.761759204343264,0.682786623477348,40.0790638259045,43838
1,0,0.714381369589396,0.607996459132487,38.5389722405066,88114
1,1,0.723327067916245,0.617292551163922,38.8444117299123,76079
