"bound","mother_post_coef","se","ci_low","ci_high"
"lower",-0.516593292752731,0.178095913786936,-0.865654869568875,-0.167531715936587
"point (untrimmed)",0.227954220732386,0.180893266153378,-0.126590065974054,0.582498507438826
"upper",0.80165710746121,0.178878398665132,0.451061888465354,1.15225232645707
