"score","realized","n_occupations","n_swapped","correlation","slope","slope_se","r2","ref_years"
"calibrated","realized_refweek",40,10,0.528738509515762,0.399899610697136,0.0871803231499543,0.248803155472055,"2021-2022-2023"
"external","realized_refweek",40,10,0.739209227639825,0.373524267680852,0.0966605190236561,0.584848738433766,"2021-2022-2023"
"calibrated","realized_usual",40,10,0.480786418820698,0.254700051382069,0.0543249610864997,0.285451999910553,"2021-2022-2023"
"external","realized_usual",40,10,0.588213355863511,0.204732136286984,0.061896089587165,0.502200635235649,"2021-2022-2023"
