"subgroup","estimate","se","ci_low","ci_high","is_placebo"
"All women (primary)",0.227954220732386,0.180893266153378,-0.126596580928236,0.582505022393007,FALSE
"Jewish women",0.302057149034766,0.202707607139509,-0.0952497609586708,0.699364059028203,FALSE
"Arab women",-0.0723811188992158,0.478544371192073,-1.01032808643568,0.865565848637247,FALSE
"Men (placebo)",-0.400194806697726,0.188290285291744,-0.769243765869545,-0.0311458475259074,TRUE
