"label","param","estimate","t_stat","p_boot","ci_low","ci_high","B","n_clusters","weights","null_imposed","seed"
"headline","Mother:Post:WFH_Exposure",3.22404165894545,3.15380311066063,0.0558055805580558,-0.264444703682666,5.84330401648398,9999,40,"rademacher",TRUE,20260922
"pretrend_2017","ShnatSeker::2017:MotherWFH",0.586601905807129,0.26226361367208,0.838083808380838,-5.04153445746181,5.17602950877929,9999,40,"rademacher",TRUE,20260922
"pretrend_2018","ShnatSeker::2018:MotherWFH",0.313440944143167,0.17963372732494,0.883688368836884,-4.0883251521303,3.81262955267892,9999,40,"rademacher",TRUE,20260922
"pretrend_2017_plus_2018","ShnatSeker::2017:MotherWFH + ShnatSeker::2018:MotherWFH",0.900042849950296,0.232590311368937,0.852285228522852,-8.65557863180717,8.74703714061413,9999,40,"rademacher",TRUE,20260922
