"measure","childless","mothers","difference","se_difference"
"Observations",133646,239095,NA,NA
"Employment rate",0.757418852790207,0.782843639557498,0.0254247867672911,0.00307180782472509
"Usual weekly hours (employed), mean",40.0579313059948,38.6804979505825,-1.37743335541222,0.0907247898462667
"Usual weekly hours (employed), SD",12.1181712485302,11.6210618819381,-0.497109366592145,NA
"Usual weekly hours (employed), N",93982,164193,NA,NA
"Age-group code (CBS 3-7), mean",5.40239887463897,4.96237897070202,-0.44001990393695,0.00933708294842325
"Arab (share)",0.177251844424824,0.177799619398147,0.000547774973323395,0.00331525724479827
