"WFH_Exposure_Q","s00","s01","s10","s11","s11_counterfactual","n_mother1_post1","excess_selection","trim_prop"
1,0.583042859246895,0.586242866785298,0.549665045737409,0.578803971369199,0.552865053275813,21655,TRUE,0.0448146857597158
2,0.706963188240512,0.711969797912503,0.685604719764012,0.697687456201822,0.690611329436003,28540,TRUE,0.0101422588336925
3,0.754191594652485,0.744963529003126,0.75544363044363,0.752223485842592,0.746215564794271,34293,TRUE,0.00798688310242124
4,0.819367396593674,0.802911737943585,0.735208648145996,0.739857895943158,0.718752989495907,21815,TRUE,0.0285256216943492
