"outcome","estimate","std_error","p_value","n","pre_mean_mothers","pre_mean_childless","pre_sd_exposure","estimate_per_pre_sd"
"Occupation-level WFH exposure (mean)",0.00134266506253677,0.0034801441706327,0.699640700555278,246326,0.230207831509139,0.236801610252115,0.196835873491766,0.00682124167062942
"In top exposure quartile (share)",0.00414545371706376,0.00681982559885411,0.543286973411905,246326,0.189156723916885,0.171844780050204,0.196835873491766,NA
