"term","quartile","estimate","std_error","t_stat","p_value","ci_low","ci_high","ref_quartile","n_occupations","n_rows","exposure_low","exposure_high"
"Mother:Post:WFH_Exposure_Q::2",2,0.752904137837078,0.482682759319003,1.55983225690373,0.126878490039207,-0.223413896695758,1.72922217236991,1,7,66612,0.0981373366694468,0.143074581430746
"Mother:Post:WFH_Exposure_Q::3",3,0.599795565129909,0.484669536311126,1.23753510421765,0.223287675308546,-0.380541105185032,1.58013223544485,1,11,74911,0.143939393939394,0.3
"Mother:Post:WFH_Exposure_Q::4",4,1.84417365344041,0.594634021083364,3.1013591352888,0.00357159434514683,0.641412818250139,3.04693448863068,1,6,48874,0.360383693045564,0.75
