ISCO2,tele_ext,n,realized_wfh,se_clustered,se_na_reason,gap,margin,swap,wfh_exposure_calibrated,israel_vs_us_gap,abs_mismatch
23,0.9661016949152542,12881,0.06296095023678286,0.0031071313268635752,NA,0.9031407446784714,0.3980299684460653,TRUE,0.06296095023678286,-0.9031407446784714,0.9031407446784714
41,1,3299,0.10154592300697181,0.008858740186464008,NA,0.89845407699302815,0.38388274606710204,TRUE,0.10154592300697181,-0.89845407699302815,0.89845407699302815
63,0,4,0.75,NA,fewer than 2 distinct IDPUF,0.75,NA,FALSE,0,0.75,0.75
12,0.8918918918918919,1170,0.1564102564102564,0.014130420385973397,NA,0.7354816354816355,0.21223916225941808,TRUE,0.1564102564102564,-0.7354816354816355,0.7354816354816355
24,0.9428571428571428,4411,0.2366810247109499,0.009480686412713813,NA,0.706176118146193,0.19058177671425114,TRUE,0.2366810247109499,-0.706176118146193,0.706176118146193
14,0.7727272727272727,481,0.11850311850311851,0.023424933257697417,NA,0.6542241542241543,0.11569356779413453,TRUE,0.11850311850311851,-0.6542241542241543,0.6542241542241543
11,0.9,429,0.2494172494172494,0.030338496651177452,NA,0.6505827505827506,0.10068036432980632,TRUE,0.2494172494172494,-0.6505827505827506,0.6505827505827506
25,1,3082,0.35885788449059053,0.012379081508264837,NA,0.6411421155094095,0.12078033839221214,TRUE,0.35885788449059053,-0.6411421155094095,0.6411421155094095
33,0.6836734693877551,11013,0.12212839371651685,0.004805624630756441,NA,0.5615450756712382,0.053640526567571234,TRUE,0.12212839371651685,-0.5615450756712382,0.5615450756712382
13,0.6382978723404256,2352,0.09608843537414966,0.009347677407180666,NA,0.5422094369662759,0.026833875879502478,TRUE,0.09608843537414966,-0.5422094369662759,0.5422094369662759
44,0.625,509,0.10216110019646366,0.020121021693712934,NA,0.5228388998035364,-0.01025723570733661,FALSE,0.625,-0.5228388998035364,0.5228388998035364
26,0.6779661016949152,5922,0.2166497804795677,0.00883055451421426,NA,0.4613163212153475,-0.0532086484053505,FALSE,0.6779661016949152,-0.4613163212153475,0.4613163212153475
35,0.75,442,0.32805429864253394,0.034409920134241635,NA,0.42194570135746606,-0.13465358057845178,FALSE,0.75,-0.42194570135746606,0.42194570135746606
43,0.5263157894736842,1652,0.12832929782082325,0.011383591491422993,NA,0.39798649165286093,-0.12073785009954008,FALSE,0.5263157894736842,-0.39798649165286093,0.39798649165286093
34,0.5769230769230769,2294,0.1900610287707062,0.01341996227918665,NA,0.3868620481523707,-0.1352118254761014,FALSE,0.5769230769230769,-0.3868620481523707,0.3868620481523707
21,0.6436781609195402,4055,0.2749691738594328,0.012045297342084189,NA,0.3687089870601074,-0.15110376396072867,FALSE,0.6436781609195402,-0.3687089870601074,0.3687089870601074
53,0.3,11001,0.045268611944368695,0.0035176840064270656,NA,0.2547313880556313,-0.2510546872408095,FALSE,0.3,-0.2547313880556313,0.2547313880556313
75,0.07317073170731707,714,0.2759103641456583,0.031213618928967297,NA,0.2027396324383412,-0.34860220186725177,FALSE,0.07317073170731707,0.2027396324383412,0.2027396324383412
83,0.23684210526315788,81,0.037037037037037035,0.03653975861729684,NA,0.19980506822612085,-0.36029748626347113,FALSE,0.23684210526315788,-0.19980506822612085,0.19980506822612085
42,0.2916666666666667,2025,0.10123456790123457,0.010141342974568838,NA,0.1904320987654321,-0.32624892600844624,FALSE,0.2916666666666667,-0.1904320987654321,0.1904320987654321
52,0.2,3392,0.05336084905660377,0.006266110275673514,NA,0.14663915094339625,-0.3636676832704232,FALSE,0.2,-0.14663915094339625,0.14663915094339625
61,0.18181818181818185,77,0.05194805194805195,0.03193850687062375,NA,0.1298701298701299,-0.42266403899543004,FALSE,0.18181818181818185,-0.1298701298701299,0.1298701298701299
96,0.25,43,0.13953488372093023,0.06628884603690396,NA,0.11046511627906977,-0.4985703325511594,FALSE,0.25,-0.11046511627906977,0.11046511627906977
93,0.12,675,0.01037037037037037,0.004370857359012933,NA,0.10962962962962963,-0.3975597909502303,FALSE,0.12,-0.10962962962962963,0.10962962962962963
73,0.13793103448275862,130,0.24615384615384617,0.0750132880726485,NA,0.10822281167108755,-0.5151630672847639,FALSE,0.13793103448275862,0.10822281167108755,0.10822281167108755
54,0.1,334,0.020958083832335328,0.008761448107635562,NA,0.07904191616766468,-0.4353693835295268,FALSE,0.1,-0.07904191616766468,0.07904191616766468
74,0,18,0.05555555555555555,0.06307683562127299,NA,0.05555555555555555,-0.548196606292717,FALSE,0,0.05555555555555555,0.05555555555555555
81,0,472,0.046610169491525424,0.016377459751512276,NA,0.046610169491525424,-0.4803283545810013,FALSE,0,0.046610169491525424,0.046610169491525424
32,0.05660377358490566,959,0.10218978102189781,0.0178753344989001,NA,0.04558600743699215,-0.48381630134649445,FALSE,0.05660377358490566,0.04558600743699215,0.04558600743699215
22,0.10144927536231883,5077,0.0630293480401812,0.005675492782619981,NA,0.03841992732213763,-0.4709154275660917,FALSE,0.10144927536231883,-0.03841992732213763,0.03841992732213763
31,0.14393939393939395,634,0.10883280757097792,0.019658490095285024,NA,0.03510658636841603,-0.49722875236520314,FALSE,0.14393939393939395,-0.03510658636841603,0.03510658636841603
82,0,309,0.019417475728155338,0.016346661248558134,NA,0.019417475728155338,-0.5074703893150826,FALSE,0,0.019417475728155338,0.019417475728155338
94,0,223,0.017937219730941704,0.010775937948924718,NA,0.017937219730941704,-0.4997876208881511,FALSE,0,0.017937219730941704,0.017937219730941704
92,0,65,0.015384615384615385,0.015268565489875706,NA,0.015384615384615385,-0.5097299399397528,FALSE,0,0.015384615384615385,0.015384615384615385
51,0.2708333333333333,2845,0.2826010544815466,0.014653247875848274,NA,0.011767721148213284,-0.5123347267669947,FALSE,0.2708333333333333,0.011767721148213284,0.011767721148213284
91,0,1844,0.004880694143167028,0.0017902587087133203,NA,0.004880694143167028,-0.49806401938704153,FALSE,0,0.004880694143167028,0.004880694143167028
71,0.02702702702702703,40,0.025,0.02591127613162329,NA,0.002027027027027027,-0.5405932294970146,FALSE,0.02702702702702703,-0.002027027027027027,0.002027027027027027
72,0,52,0,NA,constant outcome within occupation,0,NA,FALSE,0,0,0
95,0,1,0,NA,fewer than 2 distinct IDPUF,0,NA,FALSE,0,0,0
62,0.17857142857142858,NA,NA,NA,NA,NA,NA,FALSE,0.17857142857142858,NA,NA
