"subgroup","estimate","se","ci_low","ci_high","is_placebo"
"All mothers (primary)",3.22404165894545,1.02227106232588,1.22039037678673,5.22769294110417,FALSE
"Youngest child 0-4",3.65607763273317,1.07915812347521,1.54092771072177,5.77122755474458,FALSE
"Youngest child 5-9",3.21119744846249,1.31055996185176,0.642499923233037,5.77989497369193,FALSE
"Youngest child 10-14",2.74052364454974,1.52496648691215,-0.248410669798075,5.72945795889755,FALSE
"Youngest child 15-17",1.8622259035119,0.935389047916138,0.0288633695962686,3.69558843742753,FALSE
