"comparison","term","z","p"
"Jewish vs Arab","Mother:Post",0.720479923690909,0.471229556390205
"Jewish vs Arab","Mother:Post:WFH_Exposure",-0.941568986607559,0.346413354141709
"Women vs men","Mother:Post",2.40573723734469,0.0161398688075995
"Women vs men","Mother:Post:WFH_Exposure",3.46069439538506,0.000538784073375172
