"occupation_code","wfh_exposure","beta_j","se_j","ci_low","ci_high","precision"
41,0.0981373366694468,-0.274483581988534,0.736693105314105,-1.71840206840418,1.16943490442711,1.35741734622808
23,0.0690073373355163,0.379541188089036,0.500788487684421,-0.602004247772429,1.3610866239505,1.99685101513389
12,0.143074581430746,0.676496435233503,1.15661078665467,-1.59046070660964,2.94345357707665,0.864595083789906
11,0.155409115870401,-1.71759621040042,2.37895458338863,-6.38034719384214,2.9451547730413,0.420352707438231
24,0.233084674780788,1.75384089742005,0.684440592324111,0.41233733646479,3.09534445837531,1.46104718395553
14,0.0657184894556155,3.20654052273241,2.30801735759958,-1.31717349816276,7.73025454362758,0.433272304780254
25,0.360383693045564,1.67622685091123,0.708167550216933,0.288218452486046,3.06423524933642,1.41209520217874
33,0.122963610261532,1.10754909870096,0.388158084413604,0.346759253250293,1.86833894415162,2.57626992752376
44,0.0831099195710456,0.989131305958665,1.76868793554002,-2.47749704769978,4.45575965961711,0.565390863987929
13,0.0969617676987934,0.990991407512922,0.914523831165731,-0.801475301571911,2.78345811659776,1.09346521754968
35,0.75,-1.88716993856315,1.90722167781892,-5.62532442708823,1.85098454996194,0.524322899445853
26,0.677966101694915,1.86929539964859,0.740800954767527,0.41732552830424,3.32126527099294,1.34989026885611
43,0.526315789473684,-0.137340366448257,0.866520082556531,-1.83571972825906,1.56103899536254,1.15404134321926
34,0.576923076923077,3.37288764160712,1.37061899636237,0.686474408736871,6.05930087447737,0.729597359042887
21,0.64367816091954,3.33418755771368,0.7264905111343,1.91026615589045,4.75810895953691,1.37648046970174
53,0.3,-0.0251675775055276,0.491803999150309,-0.989103415840134,0.938768260829079,2.03333035462847
83,0.236842105263158,-8.16272728915203,5.17473888009528,-18.3052154941388,1.97976091583471,0.193246465796857
96,0.25,-0.964086568490814,5.68147585062051,-12.099779235707,10.1716060987254,0.176010604690115
42,0.291666666666667,1.14375888110277,0.870194170896839,-0.561821693855035,2.84933945606057,1.14916881018564
61,0.181818181818182,1.99895556097019,4.78948129640196,-7.38842777997765,11.386338901918,0.208790876947622
52,0.2,0.907625126158052,0.771961483384994,-0.605419381276535,2.42066963359264,1.29540141771721
51,0.270833333333333,0.906449307449179,1.04457094508727,-1.14090974492186,2.95380835982022,0.957330858859432
93,0.12,-0.948188632111709,1.66266237031359,-4.20700687792634,2.31062961370292,0.60144501845639
54,0.1,1.58650140810096,2.1645568416839,-2.65603000159949,5.8290328178014,0.461988329778421
31,0.143939393939394,1.64845613113005,1.33478500254504,-0.967722473858225,4.26463473611832,0.74918432413707
75,0.0731707317073171,-0.459834569873124,2.12161669593274,-4.6182032939013,3.69853415415505,0.471338673907052
22,0.101449275362319,0.775230922066612,0.844915052283369,-0.880802580408792,2.43126442454202,1.1835509348514
32,0.0566037735849057,0.433395858937729,1.68786624543086,-2.87482198210676,3.74161369998222,0.592464007564018
74,0,12.1220068769397,9.33423218664029,-6.17308820887524,30.4171019627547,0.107132539667404
73,0.137931034482759,-2.92862460243197,4.28786613653587,-11.3328422300423,5.47559302517835,0.233216235805321
81,0,-1.91417718606982,1.97611425694104,-5.78736112967427,1.95900675753462,0.506043613868747
71,0.027027027027027,0.0998363934761528,10.0876878016229,-19.6720316977047,19.871704484657,0.0991307442959449
94,0,0.226075656009755,2.96550311372224,-5.58631044688584,6.03846175890535,0.337210908790724
82,0,-2.35240909533883,2.03109296911648,-6.33335131480712,1.62853312412947,0.492345754332949
72,0,-3.62133278158853,3.87410755167609,-11.2145835828737,3.9719180196966,0.258123964464374
92,0,-0.28231966570803,3.21221721250747,-6.57826540222268,6.01362607080662,0.311311450578834
91,0,-1.12077019363007,1.14914873972866,-3.37310172349824,1.13156133623811,0.870209369272878
